PRODUTO;CATEGORIA
HEINEKEN LONG NECK;CERVEJAS
SOL LN;CERVEJAS
PRAYA PURO MALTE 600 ML;CERVEJAS
PRAYA PURO MALTE LN;CERVEJAS
PRAYA WITBIER 600 ML;CERVEJAS
PRAYA WITBIER LONG NECK;CERVEJAS
HEINEKEN 600;CERVEJAS
CORONA;CERVEJAS
HEINEKEN ZERO;CERVEJAS
APEROL SPRITZ;BEBIDAS
SANGRIA HP;BEBIDAS
CAIPIRINHA;BEBIDAS
MOSCOW MULE;BEBIDAS
CAIPIROSCA;BEBIDAS
CAIPIROSCA FRUTA;BEBIDAS
GIN TONIC TRADICIONAL;BEBIDAS
CAIPIRINHA TANGERINA PIME;BEBIDAS
SHOT LIMAO;BEBIDAS
COSMOPOLITAN;BEBIDAS
MOJITO;BEBIDAS
CAIPIROSCA HP;BEBIDAS
DRINK ELEGANT LOCA;BEBIDAS
JARRA CLERICOT;BEBIDAS
DRINK MELANCITA;BEBIDAS
JARRA IPA;BEBIDAS
NEGRONI;BEBIDAS
DOSE OLD PARR;BEBIDAS
DOSE CACHAÇA;BEBIDAS
DRINK PITAIA GIN;BEBIDAS
SANGRIA LOCA SUMMER;BEBIDAS
CAIPIRINHA HP;BEBIDAS
DOSE VODKA SKY;BEBIDAS
DOSE DE BACARDI;BEBIDAS
DOSE RED LABEL;BEBIDAS
TROPICAL GIN;BEBIDAS
LIMONCELLO SPRITZ;BEBIDAS
MIMOSA;BEBIDAS
BEE'S KNESS;BEBIDAS
AGUA SEM GAS;BNA
AGUA COM GÁS;BNA
COCA COLA KS 290ML;BNA
SODA ITALIANA;BNA
COPO SUCO;BNA
SODA ITALIANA EV;BNA
COCA COLA LT ZERO;BNA
COCA COLA LT NORMAL;BNA
ÁGUA TONICA;BNA
RED BULL;BNA
GUARANA LT NORMAL;BNA
CAFÉ;BNA
BOLINHO ACOSTELADO;COMIDA
LOCA BURGUER;COMIDA
CRISPY CHICKEN BURGUER;COMIDA
LINGUIÇA NA CACHAÇA;COMIDA
GUACAMOLE & NACHOS;COMIDA
PAPAS LOCAS (BATATA);COMIDA
BRUSCHETA;COMIDA
CEVICHE CLASSICO;COMIDA
TABUA MEXICANA;COMIDA
CHICKEN FINGERS;COMIDA
RISOTINHO DE CAMARÃO;COMIDA
ARANCCINI CARANGUEJO;COMIDA
PORÇÃO FOCACCIA;COMIDA
BURRATA COM JAMON E VERDE;COMIDA
CHURROS DOCE DE LEITE;COMIDA
FAVA COM CAMARÃO;COMIDA
PASTEIS CARNE;COMIDA
TÁBUA PORCO LOCO;COMIDA
PASTEIS QUEIJO REINO;COMIDA
BRIE AO FORNO COM GELÉIA;COMIDA
CHORIPOLVO;COMIDA
TABUA DE FRUTOS DO MAR;COMIDA
PASTEIS CARNE HP;COMIDA
ARROZ COSTELA;COMIDA
CHICKEN FINGERS HP;COMIDA
PASTEIS QUEIJO REINO HP;COMIDA
CALDO DO DIA;COMIDA
RIBS AO BARBECUE;COMIDA
BROWNIE DE CHOCOLATE;COMIDA
PORÇAO NACHOS;COMIDA
MOLHO EXTRA AIOLE;COMIDA
CANECA CHOPP LAGER;CERVEJAS
CANECA CHOPP IPA;CERVEJAS
COUVERT LOCA;ARTISTAS
COUVERT LOCA JAMPA;ARTISTAS
AGUA COM GÁS EV;BNA
JARRA CHOPP;CERVEJAS
FISH AND CHIPS;COMIDA
JARRA SANGRIA LOCA SUMMER;BEBIDAS
PIRULITO BARRIGA HP;COMIDA
PIRULITO CAMARÃO HP;COMIDA
CHORIPAN LOCA SUMMER;COMIDA
CHORIPAN HP;COMIDA
PIRULITO FRANGO HP;COMIDA
COUVERT artistico;ARTISTAS
BALDE SOL;CERVEJAS
HALUMI DE COALHO HP;COMIDA
HALUMI DE COALHO FARROFA;COMIDA
COUVERT;ARTISTAS
LOCA PINK;BEBIDAS
LOCA CITRUS;BEBIDAS
ESTRELLA GALICIA;CERVEJAS
ESTRELLA GALICIA LN ZERO;CERVEJAS
VB SEVERINA LAGER;CERVEJAS
VB ARRETADA APA;CERVEJAS
VB HONEY BEER;CERVEJAS
VB FORROZEIRO CREAM ALE;CERVEJAS
COLORADO RIBEIRAO 600ML;CERVEJAS
AMSTEL 600;CERVEJAS
VB SOUR;CERVEJAS
1913 SPARKLING ROSE;CERVEJAS
DOSE WHISKY 12 ANOS CHIVA;BEBIDAS
CAIPIRINHA ESPECIAL;BEBIDAS
APEROL MARGARITA;BEBIDAS
QUE BELEZA TINTO;BEBIDAS
DOSE CACHAÇA ESPECIAL;BEBIDAS
MATE DA CASA LOCA SUMMER;BEBIDAS
BAER MATE;BEBIDAS
MARGARITA DE MORANGO;BEBIDAS
DOSE GIN BEEFEATER;BEBIDAS
TAÇA VINHO LOCA;BEBIDAS
DOSE BLACK LABEL;BEBIDAS
DRY MARTINI;BEBIDAS
MORANGO SUNSET;BEBIDAS
DOSE CAMPARI;BEBIDAS
DOSE DE BACARDI LIMON;BEBIDAS
WHISKEY AND COLD BREW;BEBIDAS
MAR SALGADO ROSE 2019;BEBIDAS
QUE BELEZA BRANCO;BEBIDAS
DOSE BLACK&WHITE;BEBIDAS
MAR SALGADO BRANCO 2019;BEBIDAS
DOSE GIN;BEBIDAS
LICOR 43;BEBIDAS
COZUMEL;BEBIDAS
PINOT GRIGIO;BEBIDAS
DOSE VODKA ABSOLUT;BEBIDAS
MOCO FIDALGO TINTO;BEBIDAS
DOSE BALLANTIN'S 12 ANOS;BEBIDAS
BLOODY MARY;BEBIDAS
CASTELO DE PIAS TINTO;BEBIDAS
CASTELO DE PIAS BRANCO;BEBIDAS
CAIPIROSCA ABSOLUT MIEL-O;BEBIDAS
HAPPY WINE;BEBIDAS
CEPAS CHARDONNAY;BEBIDAS
DOSE TEQUILA;BEBIDAS
DRINK COPA;BEBIDAS
MOCO FIDALGO BRANCO;BEBIDAS
CASAS DEL MAIPO CARMENERE;BEBIDAS
VB SOUR;BEBIDAS
CASAS DEL MAIPO CHARDONNA;BEBIDAS
TANQUERAY FLOR DE SEVILLA;BEBIDAS
CEPAS MALBEC;BEBIDAS
1913 SPARKLING ROSE;BEBIDAS
SPRITE KS;BNA
SCHWEPPES;BNA
GUARANA LT ZERO;BNA
FANTA KS 290ML;BNA
JARRA SUCO;BNA
AGUA DE COCO;BNA
TABUA MIELO;COMIDA
OMELETE C SALADA;COMIDA
CEVICHE BANANA;COMIDA
LULAS EMPANADAS;COMIDA
RISOTINHO DE ALHO PORO;COMIDA
CAMARÕES FRITOS COM PÁPRI;COMIDA
RISOTINHO DE FUNGHI;COMIDA
TABUA VEGETARIANA;COMIDA
FEIJOADA;COMIDA
CODORNA COM FAVA;COMIDA
PASTEIS QUEIJO COALHO;COMIDA
NHOQUE CAMARAO;COMIDA
SALADA GREGA DE MELANCIA;COMIDA
NHOQUE;COMIDA
NHOQUE FUNGHI;COMIDA
CHILLI C NACHOS;COMIDA
CANECA CHOPP SOUR;CERVEJAS
PIRULITO CAMARÃO;COMIDA
PIRULITO VEGETAIS HP;COMIDA
MENU ELA SOMA;COMIDA
EMBALAGEM G;DIVERSOS
EMBALAGEM M;DIVERSOS
COUVER DAIRA;ARTISTAS
MEIA SETE;DIVERSOS
TAXA ROLHA;DIVERSOS
PIRULITO QUEIJO;COMIDA
CANUDO DE VIDRO;SOUVENIR
TAÇA ESPUMANTE;BEBIDAS
LICOR AMARULA;BEBIDAS
FAVA COM CAMARÃO HP;COMIDA
MOLHO EXTRA VERMELHO;COMIDA
PIRULITO QUEIJO HP;COMIDA
LOCA FRESH GIN;BEBIDAS
TAÇA VINHO LOCA;BEBIDAS
SANGRIA F.VERMELHAS;BEBIDAS
CORTESIA ANIVERS. /DRINK;BEBIDAS
CLERICOT TAÇA;BEBIDAS
CAIPIROSCA F VERMELHAS;BEBIDAS
JARRA SANGRIA F.VERMELHAS;BEBIDAS
CAIPIRINHA MIEL-O;BEBIDAS
PIRULITO BARRIGA;COMIDA
RUBACÃO NORMAL;COMIDA
WINE DEGUSTAÇÃO;BEBIDAS
LATA VIERBRAUER;CERVEJAS
HEINEKEN LN EV;CERVEJAS
VIERBRAUER;CERVEJAS
CERVEJA ORIGINAL;CERVEJAS
STELLA 600 ML;CERVEJAS
COLORADO VIXNU;CERVEJAS
TAÇA VINHO LOCA SUMMER;BEBIDAS
JULIA FLORISTA;BEBIDAS
RIBERA CABERNET SAUVIGNON;BEBIDAS
TORRE TEMPRANILLO;BEBIDAS
1913 SPARKLING BRUIT;BEBIDAS
DOSE TANQUERAY;BEBIDAS
MONTEPULCIANO;BEBIDAS
CAIPIRINHA F VERMELHAS;BEBIDAS
CAIPIROSCA MIEL-O;BEBIDAS
DOC CHANTEL;BEBIDAS
MOCO FIDALGO ROSE;BEBIDAS
NORTON MALBEC DOC 2018;BEBIDAS
4 ESTAÇÕES VIOGNIER;BEBIDAS
CHAKA MERLOT;BEBIDAS
TORRE SAUVIGNONN BLANC;BEBIDAS
CHAC CHAC MALBEC;BEBIDAS
DOSE APEROL;BEBIDAS
4 ESTAÇÕES MALBEC 2019;BEBIDAS
DOSE BAILEYS;BEBIDAS
BARON RESERVA;BEBIDAS
APEROL SPRITZ EV;BEBIDAS
LA VID TINTO;BEBIDAS
DOSE JAMERSON IPA;BEBIDAS
ESP. CORDELIER BRUT/ROSE;BEBIDAS
ESPUMANTE SALTON BRUT;BEBIDAS
VINHO ROSE BLEND;BEBIDAS
VINHO 4 ESTACIONES SUMMER;BEBIDAS
SONANTE DÃO PORT;BEBIDAS
DRINK CHA DE LA MADRE;BEBIDAS
VISTA CALMA CABERNET;BEBIDAS
LOCA PINK EV;BEBIDAS
VINHO ROSE EV;BEBIDAS
LICOR COINTREAU;BEBIDAS
RIBERA SAUVIGNON BLANC;BEBIDAS
DRINK EM LATA FIVE VOILA;BEBIDAS
VISTA CALMA MALBEC;BEBIDAS
4 ESTAÇÕES ROSE 2019;BEBIDAS
PARMEGIANA DE CARNE;COMIDA
PIRULITO FRANGO;COMIDA
ESTROGONOFE FRANGO;COMIDA
CHEDDAR BURGER;COMIDA
TABUA DE FRIOS EV;COMIDA
PASTEIS QUEIJO REINO EV;COMIDA
ESTROGONOFE DE FRANGO 2 P;COMIDA
ENSOPADINHO POLVO;COMIDA
BOLINHO AC. ALMOÇO;COMIDA
MILHO MEXICANO;COMIDA
RUBACÃO;COMIDA
CHURROS ALMOÇO;COMIDA
DADINHOS QUEIJO COALHO CO;COMIDA
FISH AND CHIPS EV;COMIDA
BOLINHO ACOSTELADO EV;COMIDA
PIRULITO VEGETAIS;COMIDA
PARMEGIANA;COMIDA
MOQUECA DE TILAPIA;COMIDA
SALADA VERDE;COMIDA
DADINHO DE CARNE DE SOL;COMIDA
ESPAGUETE LEGUMES;COMIDA
CHORIPAN EV;COMIDA
BROWNIE CHOCOLATE;COMIDA
MOQUECA PARAIBANA;COMIDA
SALADA DA CASA;COMIDA
CAMISETA LOCA;SOUVENIR
EXECUTIVO ALMOÇO;COMIDA
BUCKET LOCA;SOUVENIR
BONE;SOUVENIR
VELA G;SOUVENIR
CANECA LOCA;SOUVENIR
PORTA LONG NECK LOCA;SOUVENIR
CANECA MOSCOW;BEBIDAS
BOLSA PRAIA PANO;SOUVENIR
LOCA PINK PROMO;DIVERSOS
BALDE SOL EV;CERVEJAS
SABONETES MIELO;SOUVENIR
PIRULITO;COMIDA
