BAER MATE;1.
BALDE SOL;1
BALDE SOL EV;1
CANECA CHOPP IPA;1
CANECA CHOPP LAGER;1
CANECA CHOPP SOUR;1
JARRA CHOPP;1
CORONA;1
HEINEKEN 600;1
HEINEKEN LONG NECK;1
HEINEKEN ZERO;1
PRAYA PURO MALTE 600 ML;1
PRAYA PURO MALTE LN;1
PRAYA WITBIER 600 ML;1
PRAYA WITBIER LONG NECK;1
SOL LN;1
AMSTEL 600;1
CERVEJA ORIGINAL;1
COLORADO RIBEIRAO 600ML;1
COLORADO VIXNU;1
ESTRELLA GALICIA;1
ESTRELLA GALICIA LN ZERO;1
HEINEKEN LN EV;1
LATA VIERBRAUER;1
STELLA 600 ML;1
VB ARRETADA APA;1
VB FORROZEIRO CREAM ALE;1
VB HONEY BEER;1
VB SEVERINA LAGER;1
VB SOUR;1
VIERBRAUER;1
1913 SPARKLING ROSE;2
CAIPIRINHA MIEL-O;2
CAIPIROSCA F VERMELHAS;2
CANECA MOSCOW;2
CLERICOT TAÇA;2
JARRA SANGRIA F.VERMELHAS;2
JARRA SANGRIA LOCA SUMMER;2
LICOR AMARULA;2
LOCA CITRUS;2
LOCA FRESH GIN;2
LOCA PINK;2
LOCA PINK PROMO;2
SANGRIA F.VERMELHAS;2
TAÇA ESPUMANTE;2
TAÇA VINHO LOCA;2
WINE DEGUSTAÇÃO;2
APEROL SPRITZ;2
BEE'S KNESS;2
CAIPIRINHA;2
CAIPIRINHA HP;2
CAIPIRINHA TANGERINA PIME;2
CAIPIROSCA;2
CAIPIROSCA FRUTA;2
CAIPIROSCA HP;2
COSMOPOLITAN;2
DOSE CACHAÇA;2
DOSE DE BACARDI;2
DOSE OLD PARR;2
DOSE RED LABEL;2
DOSE VODKA SKY;2
DRINK ELEGANT LOCA;2
DRINK MELANCITA;2
DRINK PITAIA GIN;2
GIN TONIC TRADICIONAL;2
JARRA CLERICOT;2
JARRA IPA;2
LIMONCELLO SPRITZ;2
MIMOSA;2
MOJITO;2
MOSCOW MULE;2
NEGRONI;2
SANGRIA HP;2
SANGRIA LOCA SUMMER;2
SHOT LIMAO;2
TROPICAL GIN;2
1913 SPARKLING BRUIT;2
1913 SPARKLING ROSE;2
4 ESTAÇÕES MALBEC 2019;2
4 ESTAÇÕES ROSE 2019;2
4 ESTAÇÕES VIOGNIER;2
APEROL MARGARITA;2
APEROL SPRITZ EV;2
BARON RESERVA;2
BLOODY MARY;2
CAIPIRINHA ESPECIAL;2
CAIPIRINHA F VERMELHAS;2
CAIPIROSCA ABSOLUT MIEL-O;2
CAIPIROSCA MIEL-O;2
CASAS DEL MAIPO CARMENERE;2
CASAS DEL MAIPO CHARDONNA;2
CASTELO DE PIAS BRANCO;2
CASTELO DE PIAS TINTO;2
CEPAS CHARDONNAY;2
CEPAS MALBEC;2
CHAC CHAC MALBEC;2
CHAKA MERLOT;2
COZUMEL;2
DOC CHANTEL;2
DOSE APEROL;2
DOSE BAILEYS;2
DOSE BALLANTIN'S 12 ANOS;2
DOSE BLACK LABEL;2
DOSE BLACK&WHITE;2
DOSE CACHAÇA ESPECIAL;2
DOSE CAMPARI;2
DOSE DE BACARDI LIMON;2
DOSE GIN;2
DOSE GIN BEEFEATER;2
DOSE JAMERSON IPA;2
DOSE TANQUERAY;2
DOSE TEQUILA;2
DOSE VODKA ABSOLUT;2
DOSE WHISKY 12 ANOS CHIVA;2
DRINK CHA DE LA MADRE;2
DRINK COPA;2
DRINK EM LATA FIVE VOILA;2
DRY MARTINI;2
ESP. CORDELIER BRUT/ROSE;2
ESPUMANTE SALTON BRUT;2
HAPPY WINE;2
JULIA FLORISTA;2
LA VID TINTO;2
LICOR 43;2
LICOR COINTREAU;2
LOCA PINK EV;2
MAR SALGADO BRANCO 2019;2
MAR SALGADO ROSE 2019;2
MARGARITA DE MORANGO;2
MATE DA CASA LOCA SUMMER;2
MOCO FIDALGO BRANCO;2
MOCO FIDALGO ROSE;2
MOCO FIDALGO TINTO;2
MONTEPULCIANO;2
MORANGO SUNSET;2
NORTON MALBEC DOC 2018;2
PINOT GRIGIO;2
QUE BELEZA BRANCO;2
QUE BELEZA TINTO;2
RIBERA CABERNET SAUVIGNON;2
RIBERA SAUVIGNON BLANC;2
SONANTE DÃO PORT;2
TAÇA VINHO LOCA;2
TAÇA VINHO LOCA SUMMER;2
TANQUERAY FLOR DE SEVILLA;2
TORRE SAUVIGNONN BLANC;2
TORRE TEMPRANILLO;2
VB SOUR;2
VINHO 4 ESTACIONES SUMMER;2
VINHO ROSE BLEND;2
VINHO ROSE EV;2
VISTA CALMA CABERNET;2
VISTA CALMA MALBEC;2
WHISKEY AND COLD BREW;2
AGUA COM GÁS EV;3
AGUA COM GÁS;3
AGUA SEM GAS;3
ÁGUA TONICA;3
CAFÉ;3
COCA COLA KS 290ML;3
COCA COLA LT NORMAL;3
COCA COLA LT ZERO;3
COPO SUCO;3
GUARANA LT NORMAL;3
RED BULL;3
SODA ITALIANA;3
SODA ITALIANA EV;3
AGUA DE COCO;3
FANTA KS 290ML;3
GUARANA LT ZERO;3
JARRA SUCO;3
SCHWEPPES;3
SPRITE KS;3
CHORIPAN HP;4
CHORIPAN LOCA SUMMER;4
EXECUTIVO ALMOÇO;4
FAVA COM CAMARÃO HP;4
FISH AND CHIPS;4
HALUMI DE COALHO FARROFA;4
HALUMI DE COALHO HP;4
MOLHO EXTRA VERMELHO;4
PIRULITO;4
PIRULITO BARRIGA;4
PIRULITO BARRIGA HP;4
PIRULITO CAMARÃO;4
PIRULITO CAMARÃO HP;4
PIRULITO FRANGO HP;4
PIRULITO QUEIJO;4
PIRULITO QUEIJO HP;4
PIRULITO VEGETAIS HP;4
RUBACÃO NORMAL;4
ARANCCINI CARANGUEJO;4
ARROZ COSTELA;4
BOLINHO ACOSTELADO;4
BRIE AO FORNO COM GELÉIA;4
BROWNIE DE CHOCOLATE;4
BRUSCHETA;4
BURRATA COM JAMON E VERDE;4
CALDO DO DIA;4
CEVICHE CLASSICO;4
CHICKEN FINGERS;4
CHICKEN FINGERS HP;4
CHORIPOLVO;4
CHURROS DOCE DE LEITE;4
CRISPY CHICKEN BURGUER;4
FAVA COM CAMARÃO;4
GUACAMOLE & NACHOS;4
LINGUIÇA NA CACHAÇA;4
LOCA BURGUER;4
MOLHO EXTRA AIOLE;4
PAPAS LOCAS (BATATA);4
PASTEIS CARNE;4
PASTEIS CARNE HP;4
PASTEIS QUEIJO REINO;4
PASTEIS QUEIJO REINO HP;4
PORÇÃO FOCACCIA;4
PORÇAO NACHOS;4
RIBS AO BARBECUE;4
RISOTINHO DE CAMARÃO;4
TABUA DE FRUTOS DO MAR;4
TABUA MEXICANA;4
TÁBUA PORCO LOCO;4
BOLINHO AC. ALMOÇO;4
BOLINHO ACOSTELADO EV;4
BROWNIE CHOCOLATE;4
CAMARÕES FRITOS COM PÁPRI;4
CEVICHE BANANA;4
CHEDDAR BURGER;4
CHILLI C NACHOS;4
CHORIPAN EV;4
CHURROS ALMOÇO;4
CODORNA COM FAVA;4
DADINHO DE CARNE DE SOL;4
DADINHOS QUEIJO COALHO CO;4
ENSOPADINHO POLVO;4
ESPAGUETE LEGUMES;4
ESTROGONOFE DE FRANGO 2 P;4
ESTROGONOFE FRANGO;4
FEIJOADA;4
FISH AND CHIPS EV;4
LULAS EMPANADAS;4
MILHO MEXICANO;4
MOQUECA DE TILAPIA;4
MOQUECA PARAIBANA;4
NHOQUE;4
NHOQUE CAMARAO;4
NHOQUE FUNGHI;4
OMELETE C SALADA;4
PARMEGIANA;4
PARMEGIANA DE CARNE;4
PASTEIS QUEIJO COALHO;4
PASTEIS QUEIJO REINO EV;4
PIRULITO FRANGO;4
PIRULITO VEGETAIS;4
RISOTINHO DE ALHO PORO;4
RISOTINHO DE FUNGHI;4
RUBACÃO;4
SALADA DA CASA;4
SALADA GREGA DE MELANCIA;4
SALADA VERDE;4
TABUA DE FRIOS EV;4
TABUA MIELO;4
TABUA VEGETARIANA;4
CORTESIA ANIVERS. /DRINK;5
COUVER DAIRA;5
EMBALAGEM G;5
EMBALAGEM M;5
MEIA SETE;5
MENU ELA SOMA;5
TAXA ROLHA;5
BOLSA PRAIA PANO;6
BONE;6
BUCKET LOCA;6
CAMISETA LOCA;6
CANECA LOCA;6
CANUDO DE VIDRO;6
PORTA LONG NECK LOCA;6
SABONETES MIELO;6
VELA G;6
COUVERT artistico;7
COUVERT LOCA;7
COUVERT LOCA JAMPA;7
COUVERT;7
